total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label,run_id
279541248,33589115639,96430525,167564146,15546577,44220657,87257205,42012962,172741966,0,0.5754842387344605,0.1581900965112669,999.0,120.1579941397414,0,0,0,0,0,42012963,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024875283247,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
311561496,37429251755,105418915,188812253,17330328,50101029,96274863,45796502,193539551,0,0.5583266622002545,0.1608062281226175,999.0,120.13439476808776,0,0,0,0,0,45796494,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021157272467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
343024640,41280645880,111534615,212410652,19079373,56656374,106105956,48155743,214558855,0,0.5250895562431587,0.1651670678817708,999.0,120.34309220468828,0,0,0,0,0,48155742,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002541641352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
374486864,45131369451,117651695,236005145,20830024,63210810,115934005,50517263,235575791,0,0.4985132633443224,0.1687931302177798,999.0,120.51522707349224,0,0,0,0,0,50517265,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022148134957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
405951488,48982771477,123766496,259606031,22578961,69766663,125767603,52876894,256594975,0,0.4767473834226909,0.1718596065350547,999.0,120.66163796645574,0,0,0,0,0,52876896,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023793627264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
437411545,52833742305,129882031,283202519,24326995,76321576,135597173,55236177,277612461,0,0.4586189115076339,0.1744845943652447,999.0,120.78726066775398,0,0,0,0,0,55236179,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019915751133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
468849064,56681892487,135990985,306781646,26076433,82871698,145419336,57592765,298614779,0,0.4432826630052047,0.1767556008174093,999.0,120.8958209352424,0,0,0,0,0,57592759,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002123767114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
500314112,60533228909,142100287,330386890,27826935,89428715,155255010,59950510,319634068,0,0.4301026805270633,0.178745138014416,999.0,120.99044871434688,0,0,0,0,0,59950504,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022140564044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
531772728,64384185300,148217998,353978906,29575824,95982125,165084787,62310437,340649715,0,0.4187198601037543,0.1804946360468489,999.0,121.07462814452568,0,0,0,0,0,62310436,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019795372115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
563229696,68234678130,154336908,377568448,31324340,102534779,174913869,64671590,361663320,0,0.4087653743778929,0.1820478922332958,999.0,121.14893553126858,0,0,0,0,0,64671595,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021261101244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
594344394,72084176080,161590932,399695832,33057630,108411515,186157055,67608780,381538577,0,0.4042847562143205,0.1824052116827066,999.0,121.28351307373482,0,0,0,0,0,67608780,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002084651576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
625348551,75931789022,169168094,421398768,34781689,114095421,197785286,70708503,401087737,0,0.4014442064054634,0.1824509240767394,999.0,121.42314698031498,0,0,0,0,0,70708503,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020158585667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
656362304,79780271339,176748797,443107892,36505615,119781097,209415712,73810684,420642369,0,0.3988843353753672,0.1824923464830789,999.0,121.54913658630828,0,0,0,0,0,73810693,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002320903127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
687387648,83629929896,184329365,464826619,38231664,125469524,221049579,76913257,440204380,0,0.3965550970307059,0.1825309552260095,999.0,121.66341676247286,0,0,0,0,0,76913258,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021040988227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
718405632,87478984821,191906123,486541229,39958280,131156716,232682358,80013529,459762093,0,0.3944293136152702,0.1825663805486424,999.0,121.76823360566304,0,0,0,0,0,80013534,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021958487904,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
749428717,91328583675,199488390,508257886,41682441,136844590,244315234,83116136,479323425,0,0.3924944314587575,0.182598540589418,999.0,121.86427021450794,0,0,0,0,0,83116141,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002192270289,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
782737920,95147398283,215673964,523527497,43536459,140939791,251775412,90469820,499320281,0,0.4119630109896596,0.1800600014370071,999.0,121.55715962119224,0,0,0,0,0,90469828,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002142761256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
816612352,98953843529,234114594,537078529,45419229,144609955,258126944,98938171,519409282,0,0.4359038415404612,0.1770851918242843,999.0,121.17603081394488,0,0,0,0,0,98938179,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002309663852,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
850553344,102767499048,252594767,550651476,47307101,148286103,264488078,107424980,539537008,0,0.4587198582211736,0.1743407442296764,999.0,120.82428430026842,0,0,0,0,0,107424973,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001847781064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
882521600,106610344119,261247575,572188411,49085614,154249405,273606048,111042634,560369560,0,0.4565761381699847,0.1747825832251584,999.0,120.8019657751153,0,0,0,0,0,111042634,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002269055087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
913958912,110458464790,267355632,595769995,50833285,160799739,283432742,113399885,581369962,0,0.4487564567597937,0.17593760166759,999.0,120.85714504198631,0,0,0,0,0,113399885,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002176622817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
945416192,114309215618,273475711,619357418,52583063,167351868,293260558,115760532,602384503,0,0.4415474862367758,0.1770139642372446,999.0,120.90888286584372,0,0,0,0,0,115760551,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020316495384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
976865947,118158869670,279585946,642949081,54330920,173905151,303090080,118118023,623394421,0,0.4348492816338593,0.1780235574124276,999.0,120.95709757605051,0,0,0,0,0,118118028,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002081596633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1008321024,122009140220,285694581,666543704,56082739,180458906,312923972,120475228,644405972,0,0.4286209280584548,0.1789696948736834,999.0,121.002277365983,0,0,0,0,0,120475230,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020392475126,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1039777163,125859924489,291808791,690136580,57831792,187012384,322755244,122833480,665420112,0,0.422827595952094,0.179858137545958,999.0,121.04509405252249,0,0,0,0,0,122833468,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002031953061,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1071209969,129707442644,297918176,713713774,59578019,193561846,332577426,125191132,686418565,0,0.4174196811844071,0.1806945898577611,999.0,121.08498464132572,0,0,0,0,0,125191133,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002149186193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1102667264,133558166147,304031346,737307053,61328865,200115289,342410061,127549386,707432420,0,0.4123537741337733,0.1814829328242395,999.0,121.12281783219784,0,0,0,0,0,127549386,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020887981056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1134123520,137408386838,310145071,760898838,63079611,206668851,352238012,129908663,728446089,0,0.4076035545213962,0.1822278150090741,999.0,121.15821990712264,0,0,0,0,0,129908660,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002061270661,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1165225472,141258010019,317444761,782971994,64808717,212521834,363523776,132867181,748284192,0,0.4054356521467101,0.1823868762800269,999.0,121.22804848794104,0,0,0,0,0,132867177,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020891992856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1196243456,145106831406,325026505,804682065,66534886,218207675,375155341,135970262,767840487,0,0.4039191615386631,0.1824107575306142,999.0,121.30209003709692,0,0,0,0,0,135970260,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002062257728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1227246592,148953984547,332604564,826380116,68261912,223890432,386780088,139070759,787388361,0,0.4024837451437421,0.182433125876629,999.0,121.3724980113858,0,0,0,0,0,139070757,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021260421974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1258257721,152802210911,340182685,848089654,69985382,229576253,398410366,142171919,806941592,0,0.4011164189959568,0.1824556679990362,999.0,121.43951780368212,0,0,0,0,0,142171917,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020995224883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1289278464,156651610163,347764966,869803415,71710083,235263240,410042576,145274076,826501479,0,0.3998201892550629,0.1824766693690774,999.0,121.50331719416668,0,0,0,0,0,145274049,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000202326756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1320295936,160500459039,355341824,891519754,73434358,240950920,421676070,148375050,846058618,0,0.3985798659039023,0.182497660888051,999.0,121.56400293502077,0,0,0,0,0,148375048,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002108315401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1353700360,164320817696,371819483,906589159,75291718,244996662,429006697,155872069,866082208,0,0.4101300785574472,0.1809829333280224,999.0,121.38640318895978,0,0,0,0,0,155872084,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002138806938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1387617280,168131478067,390282893,920155982,77178405,248671050,435365908,164352503,886194513,0,0.4241486233146067,0.1792072306853947,999.0,121.16559838963666,0,0,0,0,0,164352498,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021554603067,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1421492352,171937617584,408729803,933697622,79064927,252338721,441712610,172824216,906282096,0,0.4377539295050277,0.1775167630307447,999.0,120.95571062488558,0,0,0,0,0,172824216,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002116205404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1453391872,175780898268,417075849,955478636,80837387,258372050,450915434,176289059,927132775,0,0.436509863523521,0.1777717730349327,999.0,120.94528781567315,0,0,0,0,0,176289055,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021364562834,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1484838210,179630249047,423192916,979059304,82585990,264922027,460742455,178649084,948139004,0,0.4322444148899074,0.1784181099434395,999.0,120.97631097936252,0,0,0,0,0,178649077,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002045887088,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1516277760,183478658629,429302634,1002636876,84338250,271471174,470568007,181006591,969140138,0,0.4281735933279198,0.1790378921075779,999.0,121.00596834514016,0,0,0,0,0,181006591,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002018632568,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1547730790,187328726163,435417604,1026226088,86087098,278023986,480395112,183365860,990152233,0,0.4242901336181974,0.1796332978553718,999.0,121.03443788373558,0,0,0,0,0,183365866,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020717658398,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1579185152,191178990259,441528000,1049823029,87834123,284578770,490226980,185723522,1011165315,0,0.4205737422435605,0.1802060826367242,999.0,121.06179570956353,0,0,0,0,0,185723525,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002150549242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1610635839,195028822451,447643678,1073410883,89581279,291130584,500058132,188083472,1032174127,0,0.4170291964517002,0.1807550639011951,999.0,121.08809311736668,0,0,0,0,0,188083470,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002088412102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1642094592,198879265236,453754851,1097006179,91333562,297684884,509889408,190442083,1053188468,0,0.4136301688050929,0.181283639475015,999.0,121.1131601095974,0,0,0,0,0,190442087,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002028993225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1673523426,202726420270,459864768,1120579600,93079058,304233018,519712133,192799632,1074183873,0,0.4103811706013566,0.1817919087796504,999.0,121.1374858101329,0,0,0,0,0,192799633,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002090505064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1704979319,206576942074,465979197,1144172040,94828082,310786345,529543451,195158834,1095196878,0,0.4072632267783785,0.1822815922378939,999.0,121.160966453928,0,0,0,0,0,195158838,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002039988748,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1736066447,210425864574,473312605,1166197498,96556347,316617685,540872429,198135036,1114996448,0,0.4058597328597595,0.18237647847358,999.0,121.20841626633892,0,0,0,0,0,198135040,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020782183525,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1767088128,214275080932,480890992,1187914705,98282431,322305604,552506166,201236758,1134555919,0,0.404819462185208,0.182393621966544,999.0,121.25885378140008,0,0,0,0,0,201236763,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002022926848,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1798098432,218123319734,488463867,1209627026,100007539,327992052,564138783,204335323,1154108848,0,0.4038136189923388,0.1824105099937042,999.0,121.30777484266224,0,0,0,0,0,204335338,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002109809448,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1829100032,221970347624,496042287,1231325719,101732026,333675440,575760359,207435580,1173657668,0,0.4028522098952438,0.1824260205359834,999.0,121.35495256718688,0,0,0,0,0,207435574,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020978491384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1860114432,225818934323,503621054,1253033027,103460351,339360644,587389780,210536467,1193212660,0,0.4019216119193321,0.1824407349149581,999.0,121.4005603301507,0,0,0,0,0,210536467,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020273437995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1891129856,229667563275,511200493,1274742697,105186666,345046599,599019535,213638080,1212768449,0,0.4010224919923585,0.1824552649863088,999.0,121.44462874737673,0,0,0,0,0,213638080,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002092473183,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
1924600320,233486462446,527937713,1289615229,107047378,349043572,606223636,221264179,1232802356,0,0.4093761465653411,0.1813589909410386,999.0,121.3168573337866,0,0,0,0,0,221264170,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002074241753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign,run1
